reference,type,manufacturer,id,moxa_server,moxa_port,moxa_command_port,configure_on_startup,start_date,end_date
pcO20,pcO2,Kongsberg,HydroC-CO2-0919-001,172.16.255.7,952,,false,2021-08-25T14:00:00Z,2021-11-25T14:00:00Z
pcO20,pcO2,Kongsberg,HydroC-CO2-1019-002,172.16.255.7,952,,false,2023-01-16T14:00:00Z,2023-08-30T14:00:00Z
pcO20,pcO2,Kongsberg,HydroC-CO2-1019-002,172.16.255.7,952,,false,2024-07-15T14:00:00Z,
