reference,type,manufacturer,id,moxa_server,moxa_port,start_date,end_date
ph0,ph,sunburst,p0243,172.16.255.8,952,2023-01-17T08:00:00Z,2023-08-30T08:00:00Z
ph0,ph,sunburst,p0243,172.16.255.8,952,2024-07-15T08:00:00Z,
